unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 
PC_HH,ES11	93.35 	93.29 	92.40 	88.76 	82.56 	78.78 	78.68 	75.56 	69.62 	64.58 	62.32 	52.72 	48.29 	41.84 	38.87 	31.96 	: 
PC_HH,ES12	94.26 	94.31 	93.37 	91.14 	85.86 	81.26 	79.70 	78.81 	72.83 	70.68 	65.51 	60.88 	57.32 	52.40 	50.86 	40.60 	: 
PC_HH,ES13	94.68 	95.01 	93.87 	90.81 	83.00 	83.51 	79.64 	79.60 	73.91 	74.62 	66.92 	64.62 	56.32 	54.19 	51.23 	45.21 	: 
PC_HH,ES2	96.75 	95.81 	95.72 	92.14 	88.25 	86.04 	82.08 	80.33 	74.86 	70.84 	68.67 	64.66 	61.39 	56.44 	54.39 	48.05 	: 
PC_HH,ES21	96.35 	95.53 	95.46 	91.54 	89.11 	86.78 	82.64 	82.78 	77.78 	73.38 	70.68 	66.77 	63.90 	59.59 	56.95 	49.76 	: 
PC_HH,ES22	96.43 	96.19 	96.49 	95.03 	87.19 	88.35 	82.50 	80.83 	75.98 	71.53 	68.19 	65.67 	61.12 	56.50 	55.49 	48.40 	: 
PC_HH,ES23	94.33 	94.95 	93.63 	90.62 	82.50 	81.00 	79.25 	75.22 	69.99 	64.75 	64.35 	59.35 	53.90 	48.66 	48.72 	41.25 	: 
PC_HH,ES24	98.15 	96.30 	96.28 	92.15 	88.68 	84.92 	81.59 	77.15 	70.54 	67.65 	66.52 	61.85 	59.03 	52.93 	50.89 	46.64 	: 
PC_HH,ES3	97.78 	97.54 	97.07 	94.51 	91.48 	88.92 	88.31 	86.37 	83.14 	79.79 	77.27 	71.40 	66.00 	63.46 	61.22 	55.83 	: 
PC_HH,ES30	97.78 	97.54 	97.07 	94.51 	91.48 	88.92 	88.31 	86.37 	83.14 	79.79 	77.27 	71.40 	66.00 	63.46 	61.22 	55.83 	: 
PC_HH,ES4	94.86 	94.97 	93.71 	88.26 	81.06 	79.72 	78.19 	73.46 	67.92 	65.00 	61.26 	56.30 	49.54 	43.43 	40.16 	33.91 	: 
