nuts3_code,Year,Canton,Population on 1 January,Population on 31 December,POP
CH062,2018,Uri,"36,299.00","36,433.00",36.37
CH063,2018,Schwyz,"157,301.00","159,165.00",158.23
CH064,2018,Obwalden,"37,575.00","37,841.00",37.71
CH065,2018,Nidwalden,"42,969.00","43,223.00",43.1
CH051,2018,Glarus,"40,349.00","40,403.00",40.38
CH066,2018,Zug,"125,421.00","126,837.00",126.13
CH022,2018,Fribourg / Freiburg,"315,120.00","318,760.00",316.94
CH023,2018,Solothurn,"271,432.00","273,194.00",272.31
CH031,2018,Basel-Stadt,"193,908.00","194,766.00",194.34
CH032,2018,Basel-Landschaft,"287,023.00","288,132.00",287.58
CH052,2018,Schaffhausen,"81,351.00","81,991.00",81.67
CH053,2018,Appenzell Ausserrhoden,"55,178.00","55,234.00",55.21
CH054,2018,Appenzell Innerrhoden,"16,105.00","16,145.00",16.13
CH055,2018,St. Gallen,"504,686.00","507,697.00",506.19
CH056,2018,Graubünden / Grigioni / Grischun,"197,888.00","198,379.00",198.13
CH033,2018,Aargau,"670,988.00","678,207.00",674.6
CH057,2018,Thurgau,"273,801.00","276,472.00",275.14
CH070,2018,Ticino,"353,709.00","353,343.00",353.53
CH011,2018,Vaud,"793,129.00","799,145.00",796.14
CH012,2018,Valais / Wallis,"341,463.00","343,955.00",342.71
CH024,2018,Neuchâtel,"177,964.00","176,850.00",177.41
CH013,2018,Genève,"495,249.00","499,480.00",497.36
CH025,2018,Jura,"73,290.00","73,419.00",73.35
CH040,2019,Zürich,"1,520,968.00","1,539,275.00","1,530.12"
CH021,2019,Bern / Berne,"1,034,931.00","1,039,426.00","1,037.18"
CH061,2019,Luzern,"409,557.00","413,120.00",411.34
CH062,2019,Uri,"36,433.00","36,703.00",36.57
CH063,2019,Schwyz,"159,165.00","160,480.00",159.82
CH064,2019,Obwalden,"37,841.00","37,930.00",37.89
CH065,2019,Nidwalden,"43,223.00","43,087.00",43.16
CH051,2019,Glarus,"40,403.00","40,590.00",40.5
CH066,2019,Zug,"126,837.00","127,642.00",127.24
CH022,2019,Fribourg / Freiburg,"318,760.00","321,831.00",320.3
CH023,2019,Solothurn,"273,194.00","275,247.00",274.22
CH031,2019,Basel-Stadt,"194,766.00","195,844.00",195.31
CH032,2019,Basel-Landschaft,"288,132.00","289,468.00",288.8
CH052,2019,Schaffhausen,"81,991.00","82,348.00",82.17
CH053,2019,Appenzell Ausserrhoden,"55,234.00","55,445.00",55.34
CH054,2019,Appenzell Innerrhoden,"16,145.00","16,128.00",16.14
CH055,2019,St. Gallen,"507,697.00","510,734.00",509.22
CH056,2019,Graubünden / Grigioni / Grischun,"198,379.00","199,021.00",198.7
CH033,2019,Aargau,"678,207.00","685,845.00",682.03
CH057,2019,Thurgau,"276,472.00","279,547.00",278.01
CH070,2019,Ticino,"353,343.00","351,491.00",352.42
CH011,2019,Vaud,"799,145.00","805,098.00",802.12
CH012,2019,Valais / Wallis,"343,955.00","345,525.00",344.74
CH024,2019,Neuchâtel,"176,850.00","176,496.00",176.67
CH013,2019,Genève,"499,480.00","504,128.00",501.8
CH025,2019,Jura,"73,419.00","73,584.00",73.5
CH040,2020,Zürich,"1,539,275.00","1,553,423.00","1,546.35"
CH021,2020,Bern / Berne,"1,039,426.00","1,043,081.00","1,041.25"
CH061,2020,Luzern,"413,120.00","416,347.00",414.73
CH062,2020,Uri,"36,703.00","36,819.00",36.76
CH063,2020,Schwyz,"160,480.00","162,157.00",161.32
CH064,2020,Obwalden,"37,930.00","38,108.00",38.02
CH065,2020,Nidwalden,"43,087.00","43,520.00",43.3
CH051,2020,Glarus,"40,590.00","40,851.00",40.72
CH066,2020,Zug,"127,642.00","128,794.00",128.22
CH022,2020,Fribourg / Freiburg,"321,831.00","325,547.00",323.69
CH023,2020,Solothurn,"275,247.00","277,462.00",276.35
CH031,2020,Basel-Stadt,"195,844.00","196,735.00",196.29
CH032,2020,Basel-Landschaft,"289,468.00","290,969.00",290.22
CH052,2020,Schaffhausen,"82,348.00","83,107.00",82.73
CH053,2020,Appenzell Ausserrhoden,"55,445.00","55,309.00",55.38
CH054,2020,Appenzell Innerrhoden,"16,128.00","16,293.00",16.21
CH055,2020,St. Gallen,"510,734.00","514,504.00",512.62
CH056,2020,Graubünden / Grigioni / Grischun,"199,021.00","200,096.00",199.56
CH033,2020,Aargau,"685,845.00","694,072.00",689.96
CH057,2020,Thurgau,"279,547.00","282,909.00",281.23
CH070,2020,Ticino,"351,491.00","350,986.00",351.24
CH011,2020,Vaud,"805,098.00","814,762.00",809.93
CH012,2020,Valais / Wallis,"345,525.00","348,503.00",347.01
CH024,2020,Neuchâtel,"176,496.00","175,894.00",176.2
CH013,2020,Genève,"504,128.00","506,343.00",505.24
CH025,2020,Jura,"73,584.00","73,709.00",73.65
